"id","lon.x","lat.x","Place","Tag","Link","lon.y","lat.y"
40,74.4766224,27.5737248,"Bal Samand, Rajasthan","Bal Samand’s verdure could inspire poets.","http://www.natgeotraveller.in/magazine/month/february-2015/bal-samand/",74.4766224,27.5737248
55,74.961792,28.292048,"Mansions And Markets","Churu’s locked havelis reveal dazzling art.","http://www.natgeotraveller.in/magazine/month/january-2014/mansions-and-markets-36/",NA,NA
2,74.8570259,32.7266016,"The Villa Himalaya, Jammu & Kashmir","At this boutique resort, the only signal you’ll receive is the call of the mountains waiting to be explored.","http://www.natgeotraveller.in/magazine/month/september-2015/the-villa-himalaya-jammu-kashmir/",74.8570259,32.7266016
25,74.370477,34.0416028,"Khyber Himalayan Resort and Spa, Gulmarg","Rekindling idyllic vacations in Kashmir. ","http://www.natgeotraveller.in/magazine/month/may-2015/gulmarg/",74.370477,34.0416028
37,76.567607,32.040135,"The Mirage, Himachal Pradesh","A B&B holiday with the Dhauladhars for company.","http://www.natgeotraveller.in/magazine/month/march-2015/stay-mirage/",NA,NA
38,76.869468,31.993366,"Discover The Hidden Treasures Of Himachal's Barot Valley","Trekking, fishing and driving around this little-known town.","http://www.natgeotraveller.in/magazine/month/march-2015/barot/",NA,NA
46,77.1887145,32.2396325,"Mountain Manor: The Himalayan in Manali","Far from the chaos of Manali town, The Himalayan is like a plush man cave.","http://www.natgeotraveller.in/magazine/month/september-2014/mountain-manor--the-himalayan-in-manali-355/",77.1887145,32.2396325
16,78.102273,30.455453,"Weekend Getaway: Head To Landour, Ruskin Bond's Hometown","Despite its proximity to manic Mussoorie, this town retains its old-world aura. ","http://www.natgeotraveller.in/magazine/month/july-2015/weekend-getaway-head-to-landour-ruskin-bonds-hometown/",NA,NA
31,78.032192,30.316495,"Discover Robbers' Cave And Doon Valley's Other Hidden Delights","Dehradun is an Enid Blyton storybook come alive.","http://www.natgeotraveller.in/magazine/month/april-2015/doon-valleys-hidden-delights/",NA,NA
1,78.055431,30.300444,"Ananda In The Himalayas, Uttarakhand","The hotel is about wellbeing and turning the focus inward.","http://www.natgeotraveller.in/magazine/month/september-2015/ananda-in-the-himalayas-uttarakhand/",78.055431,30.300444
