"origin","destination","distance"
1,1,0
2,1,405.923519043251
3,1,1462.06731217038
4,1,2003.88600426982
5,1,1560.88473188545
6,1,1589.29760815819
7,1,1386.23783729309
8,1,2104.2881590633
9,1,2273.2344264768
10,1,1377.19520334607
11,1,793.609339490321
12,1,173.396987820933
13,1,1848.78692284221
14,1,110.234289814249
15,1,1893.04235765487
16,1,17.817906865471
17,1,2273.2344264768
18,1,1956.70829521488
19,1,1377.1952259039
20,1,1059.75644025112
21,1,2438.51399204071
22,1,177.635787574786
23,1,1716.16059051743
24,1,1822.54474658621
25,1,541.69057021126
26,1,1716.16059051743
27,1,766.538834292591
28,1,1353.17981827512
29,1,2181.2384189808
30,1,975.577548338892
31,1,2.85786471162527
32,1,1944.58053625588
33,1,1380.09709531755
34,1,2224.96379281409
35,1,454.229019713877
36,1,775.764190782659
37,1,239.773108330123
38,1,219.54981216025
39,1,2155.45398247099
40,1,461.839931698598
41,1,1936.78041250382
42,1,1686.50272695677
43,1,1030.07872054444
44,1,79.6617892963522
45,1,2266.34473085739
46,1,230.896007484624
47,1,1143.9189479313
48,1,1204.74881891957
49,1,2173.36281200998
50,1,2232.30034209361
51,1,1404.12380290482
52,1,1912.39580864603
53,1,1213.73574852672
54,1,1179.66481470949
55,1,374.083076052859
1,2,405.923519043251
2,2,0
3,2,1675.6865049487
4,2,2248.7021890945
5,2,1920.030903586
6,2,1931.10536302741
7,2,1596.65086962935
8,2,2379.4384887832
9,2,2539.65069314389
10,2,1583.30374674092
11,2,750.280155456991
12,2,571.615314915066
13,2,2083.45296786472
14,2,515.237041158283
15,2,2138.40666758256
16,2,397.900424749377
17,2,2539.65069314389
18,2,2209.16233146204
19,2,1583.30377816052
20,2,1437.89485136627
21,2,2714.6127903513
22,2,583.378627644657
23,2,1939.84551493354
24,2,2063.05972358007
25,2,153.088192075945
26,2,1939.84551493354
27,2,912.382558870146
28,2,1531.11392554202
29,2,2496.01649872148
30,2,1102.43120408283
31,2,403.072054203698
32,2,2202.42943593919
33,2,1588.33790532029
34,2,2501.10852759204
35,2,792.182777864467
36,2,943.870346930994
37,2,177.894129132588
38,2,205.915509423032
39,2,2464.89221767855
40,2,574.318671051451
41,2,2245.98909800426
42,2,1903.40386864682
43,2,1435.99808957267
44,2,485.526738038965
45,2,2558.19522501621
46,2,225.377289869041
47,2,1171.20282533193
48,2,1608.33199212562
49,2,2479.36643654569
50,2,2515.9036070241
51,2,1803.24901356552
52,2,2173.57193721699
53,2,1615.06883425484
54,2,1234.51546230053
55,2,493.356716649158
1,3,1462.06731217038
2,3,1675.6865049487
3,3,0
4,3,584.376621563164
5,3,2231.93802990033
6,3,750.93919964462
7,3,79.19266000273
8,3,761.378981257547
9,3,895.466543728431
10,3,94.9770274142021
11,3,1076.78694245739
12,3,1457.37171826542
13,3,413.418598035715
14,3,1403.87361130236
15,3,478.672326752216
16,3,1479.86770750355
17,3,895.466543728431
18,3,556.691174909012
19,3,94.9769888891118
20,3,1794.75623131093
21,3,1080.79934283543
22,3,1404.33588123028
23,3,265.093458933376
24,3,400.123952252162
25,3,1820.18419908968
26,3,265.093458933376
27,3,768.69366636002
28,3,196.44108306424
29,3,993.217699821031
30,3,613.034952391828
31,3,1463.11763207297
32,3,559.91212760613
33,3,88.3753072444351
34,3,877.290523101363
35,3,1042.08076057262
36,3,732.540672636929
37,3,1617.63635995569
38,3,1617.60716133051
39,3,944.959892394754
40,3,1101.42771609219
41,3,762.646576542298
42,3,227.855115075291
43,3,1371.2217152287
44,3,1432.8765116302
45,3,969.551402754764
46,3,1650.39468868664
47,3,766.85276933252
48,3,1569.67723615037
49,3,944.529368306813
50,3,908.521538518984
51,3,1266.36673755018
52,3,540.16395448361
53,3,1626.21439687997
54,3,674.497104746517
55,3,1184.2549815619
1,4,2003.88600426982
2,4,2248.7021890945
3,4,584.376621563164
4,4,0
5,4,2485.70046119079
6,4,762.78099098624
7,4,662.600441817943
8,4,238.241494095214
9,4,319.144779060989
10,4,679.35363631811
11,4,1658.7667844407
12,4,1973.94322878679
13,4,172.320798794981
14,4,1933.13504154071
15,4,110.975483570085
16,4,2021.64022842074
17,4,319.144779060989
18,4,65.6021891273528
19,4,679.353597780994
20,4,2127.57463113294
21,4,506.45819127243
22,4,1921.99224560902
23,4,323.862590600577
24,4,185.984062678772
25,4,2395.73994100119
26,4,323.862590600577
27,4,1349.78023880319
28,4,764.305057667321
29,4,564.055044361084
30,4,1196.8068364032
31,4,2005.27013065959
32,4,99.4468613518066
33,4,672.508160107343
34,4,324.172082478062
35,4,1560.99495462955
36,4,1310.73613343763
37,4,2178.31740669853
38,4,2175.64530383705
39,4,509.478412621778
40,4,1676.34634857232
41,4,452.254860314436
42,4,369.343646971142
43,4,1673.300711754
44,4,1964.7946581158
45,4,446.783696741594
46,4,2205.99724672522
47,4,1319.32605038513
48,4,1826.93733324566
49,4,491.295591122795
50,4,372.043072652112
51,4,1414.21230455507
52,4,134.472413530371
53,4,1887.08340249159
54,4,1224.66075483835
55,4,1755.41132804525
1,5,1560.88473188545
2,5,1920.030903586
3,5,2231.93802990033
4,5,2485.70046119079
5,5,0
6,5,1733.4510824001
7,5,2194.59664868191
8,5,2423.68418363629
9,5,2589.29092370141
10,5,2202.02297729622
11,5,2239.09762753169
12,5,1390.77689836744
13,5,2415.91663032453
14,5,1477.25983201042
15,5,2404.74425606271
16,5,1560.01879560464
17,5,2589.29092370141
18,5,2420.24472719102
19,5,2202.02296473168
20,5,518.814851067831
21,5,2668.65283967033
22,5,1406.3005834263
23,5,2365.00154938793
24,5,2375.07486614439
25,5,2007.32139022484
26,5,2365.00154938793
27,5,1992.2963262327
28,5,2266.67353302389
29,5,2268.31033896751
30,5,2144.24876079472
31,5,1563.42771537302
32,5,2388.77268294653
33,5,2197.40540574273
34,5,2506.87313313293
35,5,1522.29522797383
36,5,1958.91010282965
37,5,1744.55617190431
38,5,1715.76050998903
39,5,2281.25201013368
40,5,1881.85999479977
41,5,2133.50415009311
42,5,2368.58264306648
43,5,862.587606070058
44,5,1491.41507689291
45,5,2457.96186203593
46,5,1694.92643842398
47,5,2426.00404073644
48,5,666.6277417526
49,5,2313.47227475093
50,5,2475.37168621471
51,5,1085.28518796191
52,5,2352.043137654
53,5,608.034469651146
54,5,2409.13643718913
55,5,1834.48317311041
1,6,1589.29760815819
2,6,1931.10536302741
3,6,750.93919964462
4,6,762.78099098624
5,6,1733.4510824001
6,6,0
7,6,771.261759762991
8,6,693.653769578874
9,6,864.977072982402
10,6,790.687656809252
11,6,1574.03733982386
12,6,1501.09834246172
13,6,729.265966711045
14,6,1492.80362979416
15,6,697.158202791044
16,6,1605.35752924466
17,6,864.977072982402
18,6,697.373886539463
19,6,790.6876165952
20,6,1418.52523509738
21,6,972.644052661544
22,6,1456.32835744051
23,6,734.901383788263
24,6,688.331175337756
25,6,2084.02090774033
26,6,734.901383788263
27,6,1192.23009657033
28,6,907.956419517529
29,6,621.911704094529
30,6,1153.23623417431
