"id","Place","Tag","Link"
1,"Ananda In The Himalayas, Uttarakhand","The hotel is about wellbeing and turning the focus inward.","http://www.natgeotraveller.in/magazine/month/september-2015/ananda-in-the-himalayas-uttarakhand/"
2,"The Villa Himalaya, Jammu & Kashmir","At this boutique resort, the only signal you’ll receive is the call of the mountains waiting to be explored.","http://www.natgeotraveller.in/magazine/month/september-2015/the-villa-himalaya-jammu-kashmir/"
3,"Monsoon Flower Fiesta: Your Complete Guide To Exploring The Kaas Plateau","Expect new hues every fortnight.","http://www.natgeotraveller.in/magazine/month/july-2012/monsoon-flower-fiesta-your-complete-guide-to-exploring-the-kaas-plateau/"
4,"Visit Kasargod For Its Lighthouse, Forts And Pristine Beaches","Kerala's northernmost district makes for a great weekend getaway.","http://www.natgeotraveller.in/magazine/month/march-2013/unseen-sands/"
5,"Spot The Endangered One-Horned Rhino In Kaziranga","Elephant rides, jeep safaris and boat safaris in the wild.","http://www.natgeotraveller.in/magazine/month/october-2012/the-wild-way/"
6,"Dance Trail: Exploring Classical Art And Culture In Kuchipudi","The Andhra town is home to the guru of Jayalalitha, Hema Malini and Rekha. ","http://www.natgeotraveller.in/magazine/month/february-2013/dance-trail-exploring-classical-art-and-culture-in-kuchipudi/"
7,"Time Travelling While Staying At Fort Jadhavgadh","Maharashtra’s only heritage hotel built inside a fort.","http://www.natgeotraveller.in/magazine/month/june-2013/time-travelling-while-staying-at-fort-jadhavgadh/"
8,"Explore The Nilgiris Through Ooty's Botanical Gardens And Tea Estates","Plus Kotagiri's hiking trails, churches and waterfalls.","http://www.natgeotraveller.in/magazine/month/october-2013/explore-the-nilgiris-through-ootys-botanical-gardens-and-tea-estates/"
9,"Soma Kerala Palace, Kochi","This island getaway borrows heavily from the traditional Kerala homestead.","http://www.natgeotraveller.in/magazine/month/january-2014/soma-kerala-palace-kochi/"
10,"Monsoon Getaway: Explore The Natural Beauty Of Mulshi Lake Near Pune","Go white water rafting, birding, hiking – or just relax.","http://www.natgeotraveller.in/magazine/month/november-2013/monsoon-getaway-explore-the-natural-beauty-of-mulshi-lake-near-pune/"
11,"Suryagarh, Rajasthan","Love for the desert and comfort coalesce.","http://www.natgeotraveller.in/magazine/month/august-2015/suryagarh-rajasthan/"
